dat_file, cost, time
feasible1_1.dat, 241, 83.32614850997925
feasible1_2.dat, 288, 602.1507885456085
feasible1_3.dat, 332, 162.80910682678223
feasible1_4.dat, 385, 169.08539605140686
feasible1_5.dat, 429, 539.195326089859
feasible1_6.dat, 481, 413.1067261695862
feasible1_7.dat, 623, 600.8049519062042
feasible1_8.dat, 704, 600.795402765274
feasible1_9.dat, 644, 600.6889069080353
feasible1_10.dat, 682, 601.452478647232
feasible1_11.dat, 746, 600.7097315788269
feasible1_12.dat, 955, 600.9893937110901
feasible1_13.dat, 1003, 600.9220240116119
feasible1_14.dat, 927, 600.790932893753
feasible1_15.dat, 1111, 600.8573932647705
feasible1_16.dat, 1209, 601.7775475978851
feasible1_17.dat, 1227, 601.0715403556824
feasible1_18.dat, 1326, 601.0049912929535
feasible1_19.dat, 1375, 601.1141531467438
feasible1_20.dat, 1431, 601.1589357852936
feasible1_21.dat, 1437, 601.1750910282135
feasible1_22.dat, 1559, 602.0245673656464
feasible1_23.dat, 1599, 601.3829228878021
feasible1_24.dat, 1675, 601.4979364871979
feasible1_25.dat, 1742, 601.4296243190765
feasible1_26.dat, 1772, 601.3728921413422
feasible1_27.dat, 1858, 601.3802206516266
feasible1_28.dat, 1929, 602.5503034591675
feasible1_29.dat, 1963, 601.5115330219269
feasible1_30.dat, -1, 601.5299706459045
feasible1_31.dat, 2096, 601.9463486671448
feasible1_32.dat, 2146, 601.6583416461945
feasible1_33.dat, -1, 601.6319756507874
feasible1_34.dat, 2263, 602.5394961833954
feasible1_35.dat, 2286, 601.7840962409973
feasible1_36.dat, 2374, 601.8415410518646
feasible1_37.dat, 2460, 601.8284058570862
feasible1_38.dat, -1, 602.0384917259216
feasible1_39.dat, -1, 601.8811662197113
feasible1_40.dat, -1, 602.3132894039154
feasible1_41.dat, -1, 601.6465165615082
feasible1_42.dat, -1, 602.0215845108032
feasible1_43.dat, -1, 601.8737790584564
feasible1_44.dat, -1, 601.8108332157135
feasible1_45.dat, -1, 602.5872461795807
feasible1_46.dat, -1, 602.6294147968292
feasible1_47.dat, 3075, 602.3709497451782
feasible1_48.dat, -1, 601.5190501213074
feasible1_49.dat, -1, 601.7195417881012
feasible1_50.dat, 3093, 602.5917661190033
