dat_file, cost, time
feasible1_1.dat, 245, 300.95409059524536
feasible1_2.dat, 293, 301.1572163105011
feasible1_3.dat, 345, 301.21975684165955
feasible1_4.dat, 401, 301.59480571746826
feasible1_5.dat, 443, 302.4542555809021
feasible1_6.dat, 499, 301.86044907569885
feasible1_7.dat, 556, 302.3761320114136
feasible1_8.dat, 601, 302.1729874610901
feasible1_9.dat, 655, 303.61060070991516
feasible1_10.dat, 705, 302.4855647087097
feasible1_11.dat, 765, 303.40749073028564
feasible1_12.dat, 803, 302.9074008464813
feasible1_13.dat, 862, 304.3138737678528
feasible1_14.dat, 915, 304.7826359272003
feasible1_15.dat, 964, 304.0325517654419
feasible1_16.dat, 1026, 305.89215660095215
feasible1_17.dat, 1077, 304.9545295238495
feasible1_18.dat, 1120, 305.0795364379883
feasible1_19.dat, 1177, 304.09506344795227
feasible1_20.dat, 1223, 306.17336988449097
feasible1_21.dat, 1285, 305.78278613090515
feasible1_22.dat, 1325, 306.8766300678253
feasible1_23.dat, 1384, 307.2828724384308
feasible1_24.dat, 1436, 308.4861891269684
feasible1_25.dat, 1495, 308.4549186229706
feasible1_26.dat, 1542, 309.56440329551697
feasible1_27.dat, 1603, 304.7670352458954
feasible1_28.dat, 1649, 309.262907743454
feasible1_29.dat, 1709, 306.48593854904175
feasible1_30.dat, 1752, 306.0171482563019
feasible1_31.dat, 1811, 310.111296415329
feasible1_32.dat, 1858, 310.3301110267639
feasible1_33.dat, 1910, 306.1108968257904
feasible1_34.dat, 1968, 309.14246225357056
feasible1_35.dat, 2025, 311.39269852638245
feasible1_36.dat, 2072, 310.72076439857483
feasible1_37.dat, 2138, 311.5020728111267
feasible1_38.dat, 2165, 307.5173041820526
feasible1_39.dat, 2230, 310.70514583587646
feasible1_40.dat, 2281, 307.9548707008362
feasible1_41.dat, -1, 309.1580579280853
feasible1_42.dat, -1, 312.84599471092224
feasible1_43.dat, -1, 314.4711604118347
feasible1_44.dat, -1, 314.12741804122925
feasible1_45.dat, -1, 313.79921436309814
feasible1_46.dat, -1, 312.6741132736206
feasible1_47.dat, -1, 309.7987904548645
feasible1_48.dat, -1, 314.0960714817047
feasible1_49.dat, -1, 314.6274628639221
feasible1_50.dat, -1, 311.7677593231201
