dat_file, cost, time
feasible1_1.dat, 243, 1201.0780701637268
feasible1_2.dat, 289, 1201.6718697547913
feasible1_3.dat, 335, 1201.6680464744568
feasible1_4.dat, 388, 1201.7444486618042
feasible1_5.dat, 431, 1201.5506184101105
feasible1_6.dat, 489, 1202.0467720031738
feasible1_7.dat, 540, 1202.647955417633
feasible1_8.dat, 585, 1202.3079850673676
feasible1_9.dat, 643, 1202.5268127918243
feasible1_10.dat, 689, 1202.6027026176453
feasible1_11.dat, 750, 1204.1175215244293
feasible1_12.dat, 794, 1204.0591659545898
feasible1_13.dat, 849, 1203.8742525577545
feasible1_14.dat, 899, 1204.4476144313812
feasible1_15.dat, 950, 1203.5592079162598
feasible1_16.dat, 1007, 1204.8664643764496
feasible1_17.dat, 1053, 1205.4050540924072
feasible1_18.dat, 1103, 1204.2448961734772
feasible1_19.dat, 1160, 1205.409189939499
feasible1_20.dat, 1207, 1203.8699715137482
feasible1_21.dat, 1256, 1204.3995242118835
feasible1_22.dat, 1314, 1205.8829956054688
feasible1_23.dat, 1358, 1207.903354883194
feasible1_24.dat, 1415, 1207.3387055397034
feasible1_25.dat, 1456, 1207.362568616867
feasible1_26.dat, 1510, 1207.7785518169403
feasible1_27.dat, 1576, 1208.8077993392944
feasible1_28.dat, 1616, 1206.9312388896942
feasible1_29.dat, 1663, 1205.9045763015747
feasible1_30.dat, 1720, 1205.8205206394196
feasible1_31.dat, 1771, 1210.261192560196
feasible1_32.dat, 1819, 1208.8261017799377
feasible1_33.dat, 1874, 1207.1714453697205
feasible1_34.dat, 1923, 1208.091171503067
feasible1_35.dat, 1987, 1209.3548312187195
feasible1_36.dat, 2026, 1211.013344526291
feasible1_37.dat, 2076, 1206.105702161789
feasible1_38.dat, 2134, 1209.0068972110748
feasible1_39.dat, 2179, 1211.9979286193848
feasible1_40.dat, 2227, 1211.7224967479706
feasible1_41.dat, 2275, 1212.4469981193542
feasible1_42.dat, 2334, 1212.0049636363983
feasible1_43.dat, 2392, 1211.065976858139
feasible1_44.dat, 2452, 1207.9766471385956
feasible1_45.dat, 2492, 1213.88201379776
feasible1_46.dat, 2557, 1209.1857211589813
feasible1_47.dat, 2599, 1207.865026473999
feasible1_48.dat, 2648, 1210.5177292823792
feasible1_49.dat, 2703, 1212.6422181129456
feasible1_50.dat, 2748, 1213.6296789646149
