dat_file, cost, time
feasible1_1.dat, 249, 602.4980373382568
feasible1_2.dat, 296, 602.9402470588684
feasible1_3.dat, 346, 603.7023057937622
feasible1_4.dat, 399, 603.4200205802917
feasible1_5.dat, 442, 603.8616900444031
feasible1_6.dat, 498, 603.6484866142273
feasible1_7.dat, 552, 604.8196597099304
feasible1_8.dat, 596, 603.2056090831757
feasible1_9.dat, 649, 604.718992471695
feasible1_10.dat, 698, 605.1428155899048
feasible1_11.dat, 754, 604.2207727432251
feasible1_12.dat, 796, 606.11776304245
feasible1_13.dat, 854, 606.5996327400208
feasible1_14.dat, 904, 606.283561706543
feasible1_15.dat, 948, 608.0889673233032
feasible1_16.dat, 1006, 603.8879299163818
feasible1_17.dat, 1052, 606.0461161136627
feasible1_18.dat, 1100, 608.2526068687439
feasible1_19.dat, 1155, 607.6900262832642
feasible1_20.dat, 1203, 608.5495188236237
feasible1_21.dat, 1251, 608.7213842868805
feasible1_22.dat, 1302, 608.7144422531128
feasible1_23.dat, 1354, 609.4983553886414
feasible1_24.dat, 1405, 610.3777647018433
feasible1_25.dat, 1455, 609.6434171199799
feasible1_26.dat, 1507, 613.550155878067
feasible1_27.dat, 1569, 607.6275217533112
feasible1_28.dat, 1612, 609.4402313232422
feasible1_29.dat, 1654, 611.018670797348
feasible1_30.dat, 1708, 612.0966436862946
feasible1_31.dat, 1758, 606.1751794815063
feasible1_32.dat, 1809, 608.0337965488434
feasible1_33.dat, 1859, 615.4254341125488
feasible1_34.dat, 1907, 616.8005814552307
feasible1_35.dat, 1968, 614.2211391925812
feasible1_36.dat, 2010, 607.8011138439178
feasible1_37.dat, 2052, 612.6989951133728
feasible1_38.dat, 2112, 615.284791469574
feasible1_39.dat, 2158, 618.449875831604
feasible1_40.dat, 2212, 609.1080501079559
feasible1_41.dat, 2264, 615.2691645622253
feasible1_42.dat, 2312, 606.4928336143494
feasible1_43.dat, 2366, 617.3240914344788
feasible1_44.dat, 2423, 618.2567045688629
feasible1_45.dat, 2464, 612.4718832969666
feasible1_46.dat, 2518, 614.5971992015839
feasible1_47.dat, 2562, 616.6286840438843
feasible1_48.dat, 2620, 616.0973982810974
feasible1_49.dat, 2655, 615.3480317592621
feasible1_50.dat, 2716, 614.6178147792816
